관리번호,정류장명,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
250001946,원창5리,,,,,,,
250001947,원창4리,,,,,,,
250001948,원창3리,,,,,,,
250001949,원창3리,,,,,,,
250001950,원창2리,,,,,,,
250001951,폴리텍대학,,,,,,,
250001952,폴리텍대학,,,,,,,
250001953,원창2리,,,,,,,
250001954,원창1리,,,,,,,
250001955,원창1리,,,,,,,
250001956,봉명리,,,,,,,
250027138,원무골,,,,,,,
250001958,웃골1리,,,,,,,
250001959,웃골1리,,,,,,,
265000757,용산1리종점,,,,,,,
250001961,강원대동문앞,,,,,,,
250001962,우석초교,,,,,,,
250001963,우석초교,,,,,,,
250001964,그랜드A,,,,,,,
250001965,용산치안센터,,,,,,,
250001966,용산3리,,,,,,,
250001967,용산3리,,,,,,,
250001968,용산2리취수장,,,,,,,
250001969,용산2리취수장,,,,,,,
250001970,한강수력본부,,,,,,,
250001971,한강수력본부,,,,,,,
250027145,용산1리종점,,,,,,,
250001973,용산1리,,,,,,,
250001974,용산1리,,,,,,,
250001975,왕터연수원,,,,,,,
250001976,왕터연수원,,,,,,,
250001978,올미종점,,,,,,,
250001979,올미입구,,,,,,,
250001980,올미입구,,,,,,,
265000744,화물공영차고지,,,,,,,
250001982,여우고개,,,,,,,
250001983,온의사거리,,,,,,,
250001984,풍물시장,,,,,,,
250001985,럭키A,,,,,,,
250001986,미소지움/방송대,,,,,,,
250001987,모아엘가A,,,,,,,
250001988,온의금호1차,,,,,,,
250001989,온의금호1차,,,,,,,
250001990,옥광산입구,,,,,,,
250001991,지내1리(옥광산입구),,,,,,,
250001992,오항리종점,,,,,,,
250001993,오탄2리종점,,,,,,,
250001994,오탄1리,,,,,,,
250001995,오탄1리,,,,,,,
250001996,오탄3리종점,,,,,,,
250001997,오탄2리,,,,,,,
250001998,오탄2리,,,,,,,
250001999,오탄1리,,,,,,,
250002000,오탄1리,,,,,,,
265000734,월곡리3반,,,,,,,
265000733,월곡리3반,,,,,,,
250002003,오월유원지,,,,,,,
250002004,오월유원지,,,,,,,
250002005,오월리종점,,,,,,,
250002006,오월리입구,,,,,,,
250002007,오월리입구,,,,,,,
250002008,오월교입구,,,,,,,
250002009,오봉마을,,,,,,,
250002010,오봉마을,,,,,,,
265000745,화물공영차고지,,,,,,,
250002012,오동초등학교,,,,,,,
250002015,여성가족연구원,,,,,,,
250002016,여성가족연구원,,,,,,,
250002017,퇴계주공6단지,,,,,,,
250002018,현진에버빌1차,,,,,,,
250002020,상상마당입구,,,,,,,
250002021,상상마당입구,,,,,,,
250002022,양통종점,,,,,,,
250002023,양우A,,,,,,,
250002024,양우A,,,,,,,
250002025,창촌3리(양단이),,,,,,,
250002026,창촌3리(양단이),,,,,,,
250002027,약사롯데캐슬,,,,,,,
250002028,남부사거리,,,,,,,
250002029,명동입구,,,,,,,
265000735,소양7교,,,,,,,
265000781,후평현대2차,,,,,,,
250002032,현암리,,,,,,,
250002033,애니메이션박물관,,,,,,,
250002034,안보2리종점,,,,,,,
265000773,강원대동문앞,,,,,,,
250002036,안보2리입구,,,,,,,
250002037,탑동마을,,,,,,,
250002038,아침못종점,,,,,,,
250002039,환경사업소,,,,,,,
250002040,혈동2리,,,,,,,
250002041,신포중학교,,,,,,,
250002042,신포리,,,,,,,
250002043,신포리,,,,,,,
250002044,신포1리,,,,,,,
250002045,신촌1리,,,,,,,
250002046,신촌3리,,,,,,,
250002047,신촌1리,,,,,,,
250002048,신촌1리,,,,,,,
250002049,신촌1리,,,,,,,
250002050,신촌1리,,,,,,,
250001795,창촌1리,,,,,,,
250001796,청구/진흥A,,,,,,,
250001797,청구/진흥A,,,,,,,
250001798,현지사,,,,,,,
250001799,현지사,,,,,,,
250001800,지촌3리,,,,,,,
250001801,지촌3리,,,,,,,
250001802,지촌2리,,,,,,,
250001803,지촌2리,,,,,,,
250001804,우미린후문,,,,,,,
250001805,한국국토정보공사,,,,,,,
250001806,지암초교,,,,,,,
250001807,지암초교,,,,,,,
250001808,지암산천마을,,,,,,,
250001809,지암산천마을,,,,,,,
250001810,지암2교,,,,,,,
250001811,지암리,,,,,,,
250001812,지암리,,,,,,,
250001813,지암리,,,,,,,
250001814,지암리,,,,,,,
250001815,지내리,,,,,,,
250001816,지내리,,,,,,,
250001817,지내3리,,,,,,,
250001818,지내3리,,,,,,,
250001819,지내2리마을회관,,,,,,,
265000742,고은1리5반,,,,,,,
250001821,지내2리,,,,,,,
250001822,지내2리,,,,,,,
250001823,지내1리종점,,,,,,,
265000712,지내1리마을회관,,,,,,,
265000713,지내1리마을회관,,,,,,,
265000748,지내보건진료소,,,,,,,
265000743,대룡119안전센터,,,,,,,
250001828,지내1리,,,,,,,
250001829,증3리,,,,,,,
250001830,증3리,,,,,,,
250001831,증3리,,,,,,,
265000740,산수2리1반,,,,,,,
250001833,증리고분군,,,,,,,
250001834,증2리경로당,,,,,,,
250001835,증2리4반,,,,,,,
250001836,증2리,,,,,,,
265000872,장학교차로,,,,,,,
250001838,증2리,,,,,,,
250001839,증2리4반,,,,,,,
250001840,증2리경로당,,,,,,,
250001841,증리고분군,,,,,,,
265000774,춘천농협엔타점,,,,,,,
250001843,중앙하이츠1차,,,,,,,
265000777,롯데캐슬더퍼스트,,,,,,,
265000778,롯데캐슬더퍼스트,,,,,,,
250001846,중앙하이츠1차,,,,,,,
250001847,중앙로입구,,,,,,,
250001848,중앙시장/중앙초교,,,,,,,
250001849,중앙시장,,,,,,,
250001850,통일플러스센터,,,,,,,
250001851,통일플러스센터,,,,,,,
265000775,춘천여고,,,,,,,
250001853,일성트루엘A,,,,,,,
250001854,KBS방송국,,,,,,,
250001855,KBS방송국,,,,,,,
250001856,조양4리,,,,,,,
250001857,조양4리,,,,,,,
250001858,조양4리,,,,,,,
250001859,신세계주유소,,,,,,,
250001860,조양3리,,,,,,,
250001861,조양1리,,,,,,,
250001862,조각공원,,,,,,,
265000776,안보2리입구,,,,,,,
250001864,정족2리입구,,,,,,,
265000741,송암5반,,,,,,,
250001866,정족2리입구,,,,,,,
250001867,정족2리,,,,,,,
250001868,정족2리,,,,,,,
250001869,정족1리입구,,,,,,,
265000768,레고랜드정문,,,,,,,
250001871,사천왕사,,,,,,,
250001872,사천왕사,,,,,,,
250001873,정부합동청사,,,,,,,
250001874,정부합동청사,,,,,,,
250001875,정법사,,,,,,,
250001876,정법사,,,,,,,
250001877,재취골,,,,,,,
250001878,기와집골,,,,,,,
250001446,방곡2리종점,,,,,,,
250001447,방곡1리,,,,,,,
250001448,방곡1리,,,,,,,
250001449,방곡1리,,,,,,,
250001450,방곡1리,,,,,,,
250001451,방곡1리,,,,,,,
250001452,방곡1리,,,,,,,
265000703,발산치안센터,,,,,,,
250001458,발산2리,,,,,,,
265000761,발산리종점,,,,,,,
250001460,발산2리,,,,,,,
250001461,발산2리,,,,,,,
250001462,발산2리,,,,,,,
250001463,발산2리,,,,,,,
250001464,발산2리,,,,,,,
